    DEPTH,    RHOB,             NPHI,             CALI,             GR,               DT,               SP,               SFLU,             ILM,              ILD
    3094.000, 2.20882992,       0.19933687,       8.76245573,       20.36297475,      86.54255319,      -5.94963097,      9.83834137,       5.15039819,       8.70453049
    3094.500, 2.21548314,       0.21206897,       8.68819494,       21.33289967,      84.94680851,      -6.84762639,      11.42317296,      4.54764706,       7.11838293
    3095.000, 2.22403294,       0.22957560,       8.55415626,       22.12841368,      86.01063830,      -8.24376501,      7.67032524,       4.01543591,       6.13079059
    3095.500, 2.23249871,       0.23753316,       8.55335719,       23.39527240,      88.13829787,      -8.48978072,      8.90591702,       4.54764706,       6.28531854
    3096.000, 2.22427707,       0.22957560,       8.55376344,       23.90796341,      88.13829787,      -9.88157090,      9.36052626,       5.54974769,       8.26506383
    3096.500, 2.20727347,       0.22480106,       8.55376344,       21.12079047,      92.39361702,      -11.08390936,     15.39984970,      9.36052626,       11.14232807
    3097.000, 2.18579336,       0.21206897,       8.55376344,       18.01852743,      89.20212766,      -13.50544462,     21.28418488,      15.78800637,      33.13456951
    3097.500, 2.17989110,       0.20251989,       8.55357555,       16.40310601,      87.60638298,      -15.09197142,     28.93728643,      19.75261460,      46.16099787
    3098.000, 2.18743715,       0.21226052,       8.54566859,       16.37260145,      87.07446809,      -17.35047609,     19.26698590,      12.61914689,      34.79683240
    3098.500, 2.19585171,       0.21537030,       8.97411861,       20.75865964,      89.73404255,      -19.01152301,     15.39984970,      7.86365751,       16.59391704
    3099.000, 2.19020136,       0.20888594,       9.09635541,       20.49242050,      87.07446809,      -18.94557706,     13.59760522,      5.02377286,       8.47338662
    3099.500, 2.15888253,       0.22002653,       8.85633634,       16.42469049,      89.20212766,      -18.75244455,     9.13039266,       4.22040686,       7.48174615
    3100.000, 2.46809677,       0.05132626,       9.00744895,       15.49037307,      87.60638298,      -17.26138760,     8.90591702,       11.71109660,      12.30889834
    3100.500, 1.99206497,       0.14522546,       9.10675465,       19.62936168,      63.13829787,      -16.55857511,     67.67710307,      20.25048370,      33.96069111
    3101.000, 1.96179776,       0.20888594,       9.30810668,       22.96655752,      74.30851064,      -16.59434687,     21.82065754,      15.95002236,      20.75261248
    3101.500, 2.13336221,       0.22480106,       9.62813100,       22.21249794,      91.32978723,      -16.32757646,     18.79329663,      9.13526424,       21.28418488
    3102.000, 2.11445417,       0.22798408,       9.67721846,       17.23217752,      89.46808511,      -16.92187652,     17.51438055,      8.06186277,       17.44096603
    3102.500, 2.09615193,       0.21684350,       9.73890562,       17.77393547,      92.39361702,      -17.33855621,     18.86585043,      8.90591702,       19.75261460
    3103.000, 1.94999398,       0.22002653,       9.73861900,       19.69766648,      87.60638298,      -17.74260856,     13.59760522,      7.03033373,       15.78800637
    3103.500, 2.14517495,       0.20729443,       9.55648090,       19.75922418,      84.94680851,      -18.14298481,     8.47338662,       5.54974769,       10.08631897
